timestamp,server,resp_time,status_code,size,origin
2019-10-14 10:59:39.215145,CLOUDFRONT,1.177244,200,256000,sg-vpn-3
2019-10-14 10:59:39.948035,CLOUDFRONT,0.446891,200,256000,sg-vpn-3
2019-10-14 10:59:40.783118,CLOUDFRONT,0.502296,200,256000,sg-vpn-3
2019-10-14 10:59:41.574415,CLOUDFRONT,0.495481,200,256000,sg-vpn-3
2019-10-14 10:59:42.436851,CLOUDFRONT,0.515169,200,256000,sg-vpn-3
2019-10-14 10:59:43.211112,CLOUDFRONT,0.489022,200,256000,sg-vpn-3
2019-10-14 10:59:43.950428,CLOUDFRONT,0.45484,200,256000,sg-vpn-3
2019-10-14 10:59:44.689359,CLOUDFRONT,0.454735,200,256000,sg-vpn-3
2019-10-14 10:59:45.485949,CLOUDFRONT,0.473633,200,256000,sg-vpn-3
2019-10-14 10:59:46.221674,CLOUDFRONT,0.438045,200,256000,sg-vpn-3
2019-10-14 10:59:46.955623,CLOUDFRONT,0.444936,200,256000,sg-vpn-3
2019-10-14 10:59:47.699417,CLOUDFRONT,0.460633,200,256000,sg-vpn-3
2019-10-14 10:59:48.439017,CLOUDFRONT,0.441458,200,256000,sg-vpn-3
2019-10-14 10:59:49.296061,CLOUDFRONT,0.515357,200,256000,sg-vpn-3
2019-10-14 10:59:50.082648,CLOUDFRONT,0.47545,200,256000,sg-vpn-3
2019-10-14 10:59:50.821369,CLOUDFRONT,0.442874,200,256000,sg-vpn-3
2019-10-14 10:59:51.630983,CLOUDFRONT,0.485298,200,256000,sg-vpn-3
2019-10-14 10:59:52.453640,CLOUDFRONT,0.497736,200,256000,sg-vpn-3
2019-10-14 10:59:53.283343,CLOUDFRONT,0.495504,200,256000,sg-vpn-3
2019-10-14 10:59:54.036878,CLOUDFRONT,0.450026,200,256000,sg-vpn-3
2019-10-14 10:59:54.938327,CLOUDFRONT,0.546927,200,256000,sg-vpn-3
2019-10-14 10:59:55.732759,CLOUDFRONT,0.472433,200,256000,sg-vpn-3
2019-10-14 10:59:56.670629,CLOUDFRONT,0.594028,200,256000,sg-vpn-3
2019-10-14 10:59:57.436489,CLOUDFRONT,0.463813,200,256000,sg-vpn-3
2019-10-14 10:59:58.300468,CLOUDFRONT,0.52667,200,256000,sg-vpn-3
2019-10-14 10:59:59.030372,CLOUDFRONT,0.432839,200,256000,sg-vpn-3
2019-10-14 10:59:59.811938,CLOUDFRONT,0.479366,200,256000,sg-vpn-3
2019-10-14 11:00:00.570792,CLOUDFRONT,0.455376,200,256000,sg-vpn-3
2019-10-14 11:00:01.319366,CLOUDFRONT,0.466538,200,256000,sg-vpn-3
2019-10-14 11:00:02.193926,CLOUDFRONT,0.535373,200,256000,sg-vpn-3
2019-10-14 11:00:03.004148,CLOUDFRONT,0.480463,200,256000,sg-vpn-3
2019-10-14 11:00:03.820464,CLOUDFRONT,0.491481,200,256000,sg-vpn-3
2019-10-14 11:00:04.639145,CLOUDFRONT,0.490674,200,256000,sg-vpn-3
2019-10-14 11:00:05.366616,CLOUDFRONT,0.431794,200,256000,sg-vpn-3
2019-10-14 11:00:06.181551,CLOUDFRONT,0.485982,200,256000,sg-vpn-3
2019-10-14 11:00:06.994863,CLOUDFRONT,0.489013,200,256000,sg-vpn-3
2019-10-14 11:00:07.814542,CLOUDFRONT,0.491588,200,256000,sg-vpn-3
2019-10-14 11:00:08.549552,CLOUDFRONT,0.45231,200,256000,sg-vpn-3
2019-10-14 11:00:09.341676,CLOUDFRONT,0.472628,200,256000,sg-vpn-3
2019-10-14 11:00:10.181342,CLOUDFRONT,0.50122,200,256000,sg-vpn-3
2019-10-14 11:00:10.995566,CLOUDFRONT,0.478726,200,256000,sg-vpn-3
2019-10-14 11:00:11.803838,CLOUDFRONT,0.48688,200,256000,sg-vpn-3
2019-10-14 11:00:12.631099,CLOUDFRONT,0.49298,200,256000,sg-vpn-3
2019-10-14 11:00:13.364626,CLOUDFRONT,0.448166,200,256000,sg-vpn-3
2019-10-14 11:00:14.163783,CLOUDFRONT,0.475615,200,256000,sg-vpn-3
2019-10-14 11:00:14.897970,CLOUDFRONT,0.440951,200,256000,sg-vpn-3
2019-10-14 11:00:15.813367,CLOUDFRONT,0.574739,200,256000,sg-vpn-3
2019-10-14 11:00:16.739490,CLOUDFRONT,0.583298,200,256000,sg-vpn-3
2019-10-14 11:00:17.545142,CLOUDFRONT,0.47937,200,256000,sg-vpn-3
2019-10-14 11:00:18.357960,CLOUDFRONT,0.492443,200,256000,sg-vpn-3
2019-10-14 11:00:19.107755,CLOUDFRONT,0.449165,200,256000,sg-vpn-3
2019-10-14 11:00:20.014651,CLOUDFRONT,0.563182,200,256000,sg-vpn-3
2019-10-14 11:00:20.819550,CLOUDFRONT,0.476343,200,256000,sg-vpn-3
2019-10-14 11:00:21.641435,CLOUDFRONT,0.490701,200,256000,sg-vpn-3
2019-10-14 11:00:22.576487,CLOUDFRONT,0.5899,200,256000,sg-vpn-3
2019-10-14 11:00:23.313509,CLOUDFRONT,0.441201,200,256000,sg-vpn-3
2019-10-14 11:00:24.051112,CLOUDFRONT,0.44261,200,256000,sg-vpn-3
2019-10-14 11:00:24.931077,CLOUDFRONT,0.540492,200,256000,sg-vpn-3
2019-10-14 11:00:25.723271,CLOUDFRONT,0.47506,200,256000,sg-vpn-3
2019-10-14 11:00:26.467000,CLOUDFRONT,0.446631,200,256000,sg-vpn-3
2019-10-14 11:00:27.260579,CLOUDFRONT,0.474453,200,256000,sg-vpn-3
2019-10-14 11:00:28.097300,CLOUDFRONT,0.506016,200,256000,sg-vpn-3
2019-10-14 11:00:28.833111,CLOUDFRONT,0.455881,200,256000,sg-vpn-3
2019-10-14 11:00:29.604174,CLOUDFRONT,0.464351,200,256000,sg-vpn-3
2019-10-14 11:00:30.455827,CLOUDFRONT,0.512856,200,256000,sg-vpn-3
2019-10-14 11:00:31.242079,CLOUDFRONT,0.467712,200,256000,sg-vpn-3
2019-10-14 11:00:32.096829,CLOUDFRONT,0.513305,200,256000,sg-vpn-3
2019-10-14 11:00:32.900069,CLOUDFRONT,0.481382,200,256000,sg-vpn-3
2019-10-14 11:00:33.637061,CLOUDFRONT,0.453401,200,256000,sg-vpn-3
2019-10-14 11:00:34.426378,CLOUDFRONT,0.480138,200,256000,sg-vpn-3
2019-10-14 11:00:35.162215,CLOUDFRONT,0.443271,200,256000,sg-vpn-3
2019-10-14 11:00:35.978072,CLOUDFRONT,0.490834,200,256000,sg-vpn-3
2019-10-14 11:00:36.707992,CLOUDFRONT,0.448868,200,256000,sg-vpn-3
2019-10-14 11:00:37.498339,CLOUDFRONT,0.474475,200,256000,sg-vpn-3
2019-10-14 11:00:38.339087,CLOUDFRONT,0.510113,200,256000,sg-vpn-3
2019-10-14 11:00:39.522665,CLOUDFRONT,0.885221,200,256000,sg-vpn-3
2019-10-14 11:00:40.388096,CLOUDFRONT,0.525874,200,256000,sg-vpn-3
2019-10-14 11:00:41.191444,CLOUDFRONT,0.48356,200,256000,sg-vpn-3
2019-10-14 11:00:42.016715,CLOUDFRONT,0.497239,200,256000,sg-vpn-3
2019-10-14 11:00:42.837341,CLOUDFRONT,0.490284,200,256000,sg-vpn-3
2019-10-14 11:00:43.583660,CLOUDFRONT,0.449886,200,256000,sg-vpn-3
2019-10-14 11:00:44.352263,CLOUDFRONT,0.458824,200,256000,sg-vpn-3
